a	亜
rokunosuke	六之助
rokuon	録音
rokuonchuu	録音中
rokuonji	鹿苑寺
rokuonkinou	録音機能
rokuouin	鹿王院
rokupaasento	六%
rokupaasento	六パーセント
rokupaasentodai	6%台
rokupeeji	六ページ
rokupensu	六ペンス
rokupon	六本
rokuponme	六本目
rokupun	六分
rokupungai	六分街
rokuraku	ロクラク
rokuren	六連
rokurenka	6連化
rokurigahara	六里ヶ原
rokurinsha	六厘舎
rokuro	ロクロ
rokuro	鹿路
rokuro	轆轤
rokuroda	六呂田
rokurokusou	六麓荘
rokurokusouchou	六麓荘町
rokuroshi	六呂師
rokurou	六郎
rokurou	緑郎
rokurou	六朗
rokurou	禄郎
rokuroubee	六郎兵衛
rokurouta	六郎太
rokuryouka	6両化
rokusaanu	ロクサーヌ
rokusaburou	六三郎
rokusai	六歳
rokusai	六才
rokusaigoro	6歳頃
rokusaigoro	六歳頃
rokusaisa	6歳差
rokusasu	ロクサス
rokuse	録せ
rokusei	鹿西
rokuseiki	六世紀
rokuseikigoro	6世紀頃
rokuseikigoro	六世紀頃
rokuseikimatsu	6世紀末
rokuseikimatsu	六世紀末
rokuseisenjutsu	六星占術
rokusen	緑泉
rokusenji	六泉寺
rokuseyo	録せよ
rokusha	六車
rokusha	六社
rokusha	六者
rokushaku	六尺
rokushi	録し
rokushiki	六式
rokushiki	六識
rokushima	六島
rokushin	鹿深
rokushingattaigoddomaazu	六神合体ゴッドマーズ
rokushiro	録しろ
rokushiyo	録しよ
rokusho	録しょ
rokusho	六所
rokushoku	六色
rokushou	六章
rokushou	緑青
rokushou	六小
rokushou	六勝
rokushoyama	六所山
rokushu	六種
rokushu	六首
rokushume	六首目
rokushurui	六種類
rokushuukan	六週間
rokushuunen	六周年
rokusodankyou	六祖壇経
rokusonnoujinja	六孫王神社
rokusou	六層
rokusu	録す
rokusuke	六輔
rokusuke	六助
rokusun	六寸
rokusure	録すれ
rokusuru	録する
rokusurya	録すりゃ
rokuta	六太
rokuta	六田
rokutai	六体
rokutan	六反
rokutan'yuuji	六反勇治
rokutanda	六反田
rokutani	鹿谷
rokutanji	六湛寺
rokutarou	録太郎
rokutarou	六太郎
rokuten	六天
rokuten	六点
rokuto	六斗
rokutou	六等
rokutou	六頭
rokutouboshi	六等星
rokutousei	六等星
rokutsuu	六通
rokuuemon	六右衛門
rokuura	六浦
rokuwa	六輪
rokuwa	六話
rokuwari	六割
rokuwarichou	6割超
rokuwarichou	六割超
rokuwarikyou	6割強
rokuwarikyou	六割強
rokuyama	六山
rokuyane	陸屋根
rokuyaon	鹿野園
rokuyari	六鎗
rokuyata	六弥太
rokuyokuten	六欲天
rokuyon	ロクヨン
rokuyonkurosu	ロクヨンクロス
rokuyou	六曜
rokuza	六座
rokuzan	碌山
rokuzou	六蔵
roma	ロマ
romaano	ロマーノ
romaanya	ロマーニャ
roman	ロマン
roman	浪漫
roman'yuukou	ロマン優光
romanchikku	ロマンチック
romanchikkusupotto	ロマンチックスポット
romanchisuto	ロマンチスト
romandourou	ろまん燈籠
romanekonthi	ロマネ・コンティ
romanekonthi	ロマネコンティ
romanesuko	ロマネスコ
romanesuku	ロマネスク
romanhikou	浪漫飛行
romanofu	ロマノフ
romanofuchou	ロマノフ朝
romanofuka	ロマノフ家
romanofuke	ロマノフ家
romanshia	ロマンシア
romanshingu	ロマンシング
romanshingusaga	ロマンシング・サガ
romanshingusaga	ロマンシングサガ
romanshugo	ロマンシュ語
romansu	ロマンス
romansudooru	ロマンスドール
romansukaa	ロマンスカー
romansukaamyuujiamu	ロマンスカーミュージアム
romanthikku	ロマンティック
romaongaku	ロマ音楽
romaria	ロマリア
romario	ロマリオ
romasaga	ロマサガ
rome	ロメ
romeeru	ロメール
romein	ロメイン
romeinretasu	ロメインレタス
romen	路面
romen'ondo	路面温度
romendensha	路面電車
romenjoukyou	路面状況
romenten	路面店
romentouketsu	路面凍結
romeo	ロメオ
romi	路美
romijuri	ロミジュリ
romio	ロミオ
romiomeeru	ロミオメール
romiromi	ロミロミ
romu	ロム
romun	ロムん
romun	ROMん
romunii	ロムニー
romure	ROMれ
romure	ロムれ
romuro	ROMろ
romuro	ロムろ
romuru	ROMる
romurusu	ロムルス
romurya	ROMりゃ
romuxtsu	ROMっ
romuxtsu	ロムっ
romyuranjin	ロミュラン人
ron	論
ron	ロン
ron	栄
rona	ロナ
ronarudo	ロナルド
ronarudoreegan	ロナルド・レーガン
ronasen	ロナセン
ronaudo	ロナウド
ronaujiinyo	ロナウジーニョ
ronbake	ロンバケ
ronbarudhia	ロンバルディア
ronbarudhiashuu	ロンバルディア州
ronberuku	ロンベルク
ronboku	ロンボク
ronbokutou	ロンボク島
ronbun	論文
ronbunshi	論文誌
ronbunshippitsu	論文執筆
ronbuu	ロンブー
roncheinii	ロン・チェイニー
ronchou	論調
ronda	ロンダ
rondai	論題
rondan	論壇
rondaringu	ロンダリング
ronden	論田
rondenisu	ロン・デニス
ronderu	ロンデル
rondo	ロンド
rondon	ロンドン
rondon	倫敦
rondon'ai	ロンドン・アイ
rondon'ai	ロンドンアイ
rondon'orinpikku	ロンドンオリンピック
rondonaa	ロンドナー
rondonbashi	ロンドン橋
rondonburijji	ロンドンブリッジ
rondonbuutsuichigounigou	ロンドンブーツ1号2号
rondondaigaku	ロンドン大学
rondonderii	ロンドンデリー
rondonfiru	ロンドン・フィル
rondongorin	ロンドン五輪
rondonhaatsu	ロンドンハーツ
rondonkyou	ロンドン橋
rondonmarason	ロンドンマラソン
rondonpararinpikku	ロンドンパラリンピック
rondonshizenshihakubutsukan	ロンドン自然史博物館
rondontaika	ロンドン大火
rondontakushii	ロンドンタクシー
rondontou	ロンドン塔
rondontou	倫敦塔
ronfuri	ロンフリ
rongai	論外
rongan	ロンガン
ronge	ロンゲ
ronge	ロン毛
rongi	論議
ronginusu	ロンギヌス
rongo	論語
rongu	ロング
ronguairando	ロングアイランド
rongubooru	ロングボール
rongubou	ロングボウ
rongubuutsu	ロングブーツ
rongudoraibu	ロングドライブ
ronguhea	ロングヘア
ronguheaa	ロングヘアー
ronguintabyuu	ロングインタビュー
rongukaaru	ロングカール
rongukooto	ロングコート
rongukootodadhi	ロングコートダディ
rongunoozu	ロングノーズ
rongupasu	ロングパス
ronguraido	ロングライド
ronguraifudezain	ロングライフデザイン
ronguraifukuuranto	ロングライフクーラント
ronguran	ロングラン
rongureggusu	ロングレッグス
rongurenji	ロングレンジ
ronguseraa	ロングセラー
rongushiito	ロングシート
rongusukaato	ロングスカート
rongusutei	ロングステイ
rongusutorookudanpaa	ロングストロークダンパー
rongutake	ロング丈
ronguteerukiiwaado	ロングテールキーワード
rongutoon	ロングトーン
rongutsuuringu	ロングツーリング
ronhaa	ロンハー
ronhaaman	ロンハーマン
ronii	ロニー
ronja	論者
ronji	論じ
ronjii	ロンジー
ronjin	ロンジン
ronjin	論じん
ronjire	論じれ
ronjiro	論じろ
ronjiru	論じる
ronjirya	論じりゃ
ronjiyo	論じよ
ronjiyou	論じよう
ronjutsu	論述
ronkaku	論客
ronkoku	論告
ronkou	論考
ronkou	論衡
ronkyo	論拠
ronmeru	ロンメル
ronnan	論難
ronneferuto	ロンネフェルト
ronpa	論破
ronpaaruumu	ロンパールーム
ronpaasu	ロンパース
ronpou	論法
ronpyou	論評
ronri	論理
ronrigaku	論理学
ronrii	ロンリー
ronriipuranetto	ロンリープラネット
ronrinesu	ロンリネス
ronrisei	論理性
ronriteki	論理的
ronron	ロンロン
ronsamu	ロンサム
ronsen	論戦
ronsetsu	論説
ronsha	論者
ronshan	ロンシャン
ronshi	論旨
ronshiirukougyou	ロンシール工業
ronshobun	龍書文
ronshou	論証
ronshuu	論集
ronsou	論争
ronsuka	ロンスカ
ronsuke	ロンスケ
ronten	論点
ronto	ロント
ronzan	論山
ronze	論ぜ
ronzen	論ぜん
ronzeyo	論ぜよ
ronzu	論ず
ronzure	論ずれ
ronzuru	論ずる
roo	ロー
rooanbaa	ローアンバー
rooanguru	ローアングル
roobaa	ローバー
roobaaguruupu	ローバーグループ
roobaamini	ローバーミニ
roobaasukauto	ローバースカウト
roobaatai	ローバー隊
roobakku	ローバック
roobaru	ローバル
roobeddo	ローベッド
rooberuto	ローベルト
roobiimu	ロービーム
roobiito	ロービート
roobijon	ロービジョン
rooboodo	ローボード
roobooto	ローボート
rooboree	ローボレー
roobu	ローブ
rooburoo	ローブロー
roochea	ローチェア
roochi	ローチ
roochike	ローチケ
roochoko	ローチョコ
roochokoreeto	ローチョコレート
rooda	ローダ
roodaa	ローダー
roodaun	ローダウン
roodaunsupuringu	ローダウンスプリング
roode	ローデ
roodeddo	ローデッド
roodeeta	ローデータ
roodeshia	ローデシア
roodesuku	ローデスク
roodhi	ローディ
roodhii	ローディー
roodhingu	ローディング
roodo	ロード
roodoairando	ロードアイランド
roodoairandoshuu	ロードアイランド州
roodobaiku	ロードバイク
roodobaransa	ロードバランサ
roodobaransaa	ロードバランサー
roodohautou	ロード・ハウ島
roodokanaroa	ロードカナロア
roodokiru	ロードキル
roodokurosaito	ロードクロサイト
roodomappu	ロードマップ
roodomuubii	ロードムービー
roodonoizu	ロードノイズ
roodoobuzaringu	ロード・オブ・ザ・リング
roodoobuzaringu	ロードオブザリング
roodoreesu	ロードレース
roodosaabisu	ロードサービス
roodoshoo	ロードショー
roodosu	ロードス
roodosutaa	ロードスター
roodotorippu	ロードトリップ
rooendo	ローエンド
rooengurin	ローエングリン
roofa	ローファ
roofaa	ローファー
roofaamu	ローファーム
roofai	ローファイ
rooforumu	ローフォルム
roofuudo	ローフード
roogan	ローガン
roogeeji	ローゲージ
roogia	ローギア
roogiya	ローギヤ
roogu	ローグ
rooguraiku	ローグライク
rooguraito	ローグライト
rooguwan	ローグワン
roohaido	ローハイド
roohan	ローハン
roohiiru	ローヒール
rooingu	ローイング
rooinpakuto	ローインパクト
rooinpiidansu	ローインピーダンス
rooja	ロージャ
roojie	ロオジエ
roojii	ロージー
roojin	ロージン
rookaabo	ローカーボ
rookakao	ローカカオ
rookaraizeeshon	ローカライゼーション
rookaraizu	ローカライズ
rookarithi	ローカリティ
rookarizeeshon	ローカリゼーション
rookarogu	ローカログ
rookarorii	ローカロリー
rookaru	ローカル
rookaruakaunto	ローカルアカウント
rookarufairu	ローカルファイル
rookarunettowaaku	ローカルネットワーク
rookarunyuusu	ローカルニュース
rookaruripojitori	ローカルリポジトリ
rookaruruuru	ローカルルール
rookaruruuta	ローカルルータ
rookarusekyurithiporishii	ローカルセキュリティポリシー
rookarusen	ローカル線
rookarusutoreeji	ローカルストレージ
rookasuto	ローカスト
rookatto	ローカット
rookeeki	ローケーキ
rookii	ローキー
rookikku	ローキック
rookoodo	ローコード
rookosuto	ローコスト
rookosutokyaria	ローコストキャリア
rooma	ローマ
rooma	羅馬
roomaa	ローマー
roomagawa	ローマ側
roomagun	ローマ軍
roomahou	ローマ法
roomahouou	ローマ法王
roomahououchou	ローマ法王庁
roomaiya	ローマイヤ
roomaji	ローマ字
roomajidai	ローマ時代
roomajin	ローマ人
roomakaidou	ローマ街道
roomakatorikku	ローマカトリック
roomakoutei	ローマ皇帝
roomakurabu	ローマクラブ
roomakyou	ローマ橋
roomakyoukou	ローマ教皇
roomakyoukouchou	ローマ教皇庁
rooman	ローマン
roomaorinpikku	ローマオリンピック
roomaou	ローマ王
roomaryakudatsu	ローマ略奪
roomasen	ローマ戦
roomashi	ローマ史
roomashi	ローマ市
roomashinwa	ローマ神話
roomasho	ローマ書
roomashou	ローマ賞
roomasuuji	ローマ数字
roomateikoku	ローマ帝国
roomateruminieki	ローマ・テルミニ駅
roomaunto	ローマウント
roomen	ローメン
roomentenansu	ローメンテナンス
roomingu	ローミング
roomoba	ローモバ
roomondo	ローモンド
roomoodo	ローモード
roomu	ローム
roon	ローン
roon'urufu	ローンウルフ
roonchi	ローンチ
roonin	ローニン
roonoizu	ローノイズ
roonu	ローヌ
roonugawa	ローヌ川
roonuwain	ローヌワイン
rooon	ローーン
roopaa	ローパー
roopasu	ローパス
roopasufiruta	ローパスフィルタ
roopasufirutaa	ローパスフィルター
roopawaa	ローパワー
roopin	ローピン
roopojishon	ローポジション
rooponiiteeru	ローポニーテール
roopori	ローポリ
rooposuto	ローポスト
roopu	ロープ
roopuro	ロープロ
roopuuei	ロープウエイ
roopuwee	ロープウェー
roopuwei	ロープウェイ
roopuweieki	ロープウェイ駅
roora	ローラ
rooraa	ローラー
rooraabearingu	ローラーベアリング
rooraabooru	ローラーボール
rooraabureeki	ローラーブレーキ
rooraacheen	ローラーチェーン
rooraakonbea	ローラーコンベア
rooraashurei	ローラアシュレイ
rooraashuuzu	ローラーシューズ
rooraasukeeto	ローラースケート
roorahime	ローラ姫
roorai	ローライ
rooraidaa	ローライダー
roorain	ローライン
rooraito	ローライト
rooramerushie	ローラメルシエ
rooran	ローラン
roorando	ローランド
roorandonado	ローランド等
roorandotou	ローランド等
rooransan	ローランサン
rooransan	ローランさん
rooransu	ローランス
rooranto	ローランと
rooranzu	ローランズ
roorayaku	ローラ役
rooreberu	ローレベル
rooren	ローレン
roorenbakooru	ローレン・バコール
roorenji	ローレンジ
roorenkoohan	ローレン・コーハン
roorensu	ローレンス
roorensukasudan	ローレンス・カスダン
roorentsu	ローレンツ
roorentsuryoku	ローレンツ力
roorerai	ローレライ
rooreru	ローレル
roorerubankumashin	ローレルバンクマシン
rooreshia	ローレシア
rooreusu	ローレウス
rooria	ローリア
roorie	ローリエ
roorii	ローリー
rooriisha	ローリー車
rooriizufaamu	ローリーズファーム
roorin	ローリン
rooringaaru	ローリンガール
rooringu	ローリング
rooringukureidoru	ローリングクレイドル
rooringusandaa	ローリングサンダー
rooringusutokku	ローリングストック
rooringusutoon	ローリングストーン
rooringusutoon	ローリング・ストーン
rooringusutoonzu	ローリング・ストーンズ
rooringusutoonzu	ローリングストーンズ
roorisuku	ローリスク
rooritaan	ローリターン
rooro	ローロ
rooru	ロール
rooruaisukuriimufakutorii	ロールアイスクリームファクトリー
rooruappu	ロールアップ
rooruauto	ロールアウト
roorubaa	ロールバー
roorubakku	ロールバック
roorudoootsu	ロールドオーツ
roorujou	ロール状
roorukaapetto	ロールカーペット
roorukaaten	ロールカーテン
roorukeeji	ロールケージ
roorukeeki	ロールケーキ
roorukyabetsu	ロールキャベツ
roorumoderu	ロールモデル
rooruon	ロールオン
rooruoobaa	ロールオーバー
roorupan	ロールパン
roorupanna	ロールパンナ
roorupeepaa	ロールペーパー
roorupurei	ロールプレイ
roorupureingu	ロールプレイング
roorushahha	ロールシャッハ
roorushahhatesuto	ロールシャッハ・テスト
roorusukuriin	ロールスクリーン
roorusuroisu	ロールスロイス
rooruufu	ロールーフ
roosa	ローサ
roosaa	ローサー
roosaido	ローサイド
rooshiito	ローシート
rooshiizun	ローシーズン
rooshon	ローション
roosofa	ローソファ
roosofaa	ローソファー
roosoku	ローソク
roosokuiwa	ローソク岩
rooson	ローソン
roosonchiketto	ローソンチケット
roosonchikettosenkou	ローソンチケット先行
roosongentei	ローソン限定
roosonginkou	ローソン銀行
roosonguruupu	ローソングループ
roosonpurinto	ローソンプリント
roosonsaito	ローソンサイト
roosonserekuto	ローソンセレクト
roosu	ロース
roosuhamu	ロースハム
roosukatsukaree	ロースカツカレー
roosukuuru	ロー・スクール
roosupiido	ロースピード
roosutaa	ロースター
roosutarii	ロースタリー
roosuto	ロースト
roosutobiifu	ローストビーフ
roosutochikin	ローストチキン
roosutopooku	ローストポーク
roota	ロータ
rootaipu	ロータイプ
rootanku	ロータンク
rootarian	ロータリアン
rootarii	ロータリー
rootariienjin	ロータリーエンジン
rootariikurabu	ロータリークラブ
rootasu	ロータス
rootasu	蓮座
rootasueriize	ロータスエリーゼ
rootasuesupuri	ロータスエスプリ
rootasuyooroppa	ロータスヨーロッパ
roote	ローテ
rooteeburu	ローテーブル
rooteeshon	ローテーション
rooteetaakafu	ローテーターカフ
rooteku	ローテク
rootenburuku	ローテンブルク
rootenshon	ローテンション
roothii	ローティー
rooto	ロート
rootoaian	ロートアイアン
rootoekisu	ロートエキス
rootohorun	ロートホルン
rootojou	ロート状
rootorekku	ロートレック
rootoru	ロートル
rootoseiyaku	ロート製薬
rootse	ローツェ
roou	魯王
roouesuto	ローウエスト
roowan	ローワン
roowerutenmondai	ローウェル天文台
roowin	ローウィン
rooyaru	ローヤル
rooyarudenki	ローヤル電機
rooyaruzerii	ローヤルゼリー
rooyaruzeriiekisu	ローヤルゼリーエキス
rooza	ローザ
roozannu	ローザンヌ
roozannujouyaku	ローザンヌ条約
roozemain	ローゼマイン
roozen	ローゼン
roozenmeiden	ローゼンメイデン
roozeru	ローゼル
roozu	ローズ
roozuariina	ローズアリーナ
roozubaddo	ローズバッド
roozubanku	ローズバンク
roozubaree	ローズバレー
roozubeeju	ローズベージュ
roozuberuto	ローズベルト
roozubouru	ローズボウル
roozuburaun	ローズブラウン
roozugaaden	ローズガーデン
roozugoorudo	ローズゴールド
roozuhippu	ローズヒップ
roozuhippuoiru	ローズヒップオイル
roozuhipputhii	ローズヒップティー
roozuiro	ローズ色
roozukappu	ローズカップ
roozukaraa	ローズカラー
roozukatto	ローズカット
roozukei	ローズ系
roozukwootsu	ローズクォーツ
roozumadamu	ローズマダム
roozumarii	ローズマリー
roozumariiekisu	ローズマリーエキス
roozumushi	ローズ蒸し
roozuoiru	ローズオイル
roozupiano	ローズピアノ
roozupinku	ローズピンク
roozupooku	ローズポーク
roozureddo	ローズレッド
roozusakura	ローズサクラ
roozuseremonii	ローズセレモニー
roozushiban	ローズ指板
roozushoku	ローズ色
roozutawaa	ローズタワー
roozuthii	ローズティー
roozuuddo	ローズウッド
roozuuddoshiban	ローズウッド指板
roozuwhootaa	ローズウォーター
roozuzeraniumu	ローズゼラニウム
ropekurabu	ロペ倶楽部
ropepikunikku	ロペピクニック
roperamido	ロペラミド
ropesu	ロペス
ropesu	呂比須
ropia	ロピア
ropita	ロピタ
roppaku	六白
roppeeji	六ページ
roppensu	六ペンス
roppii	ロッピー
roppongi	六本木
roppongi	ロッポンギ
roppongidoori	六本木通り
roppongieki	六本木駅
roppongihiruzu	六本木ヒルズ
roppongihiruzuten	六本木ヒルズ店
roppongiitchoume	六本木一丁目
roppongiitchoumeeki	六本木一丁目駅
roppongiten	六本木店
ropponmatsu	六本松
ropponmatsueki	六本松駅
ropponme	六本目
ropponsugi	六本杉
roppou	六方
roppou	六法
roppu	ロップ
roppuku	六福
roppungo	6分後
roppunmachi	六分街
roraima	ロライマ
roran	ロラン
roranbaruto	ロラン・バルト
rorando	ロランド
roraparuuza	ロラパルーザ
roratajin	ロラタジン
rorazepamu	ロラゼパム
roreaato	ロレアート
rorearu	ロレアル
roreen	ロレーン
roreenu	ロレーヌ
rorekkusu	ロレックス
rorekkusudeitona	ロレックスデイトナ
rorekkusuekusupurooraa	ロレックスエクスプローラー
rorekkusukopii	ロレックスコピー
rorekkususha	ロレックス社
rorekkususuupaakopii	ロレックススーパーコピー
rorenso	ロレンソ
rorensu	ロレンス
rorentso	ロレンツォ
rorenzo	ロレンゾ
roretsu	呂律
roretta	ロレッタ
rori	ロリ
roriita	ロリータ
rorikon	ロリコン
roripoppu	ロリポップ
roripoppucheensoo	ロリポップチェーンソー
rorixita	ロリィタ
roro	ロロ
rorona	ロロナ
rorondo	ロロンド
roropiaana	ロロ・ピアーナ
roropiaana	ロロピアーナ
rorubaan	ロルバーン
rosaado	ロサード
rosaki	露先
rosanjin	魯山人
rosanzerusu	ロサンゼルス
rosanzerusu	羅府
rosanzerusudojaasu	ロサンゼルスドジャース
rosanzerusudojaasu	ロサンゼルス・ドジャース
rosanzerusuenzerusu	ロサンゼルス・エンゼルス
rosanzerusugun	ロサンゼルス郡
rosanzerusukou	ロサンゼルス港
rosanzerusuorinpikku	ロサンゼルスオリンピック
rosanzerusushi	ロサンゼルス市
rosario	ロサリオ
rosarutan	ロサルタン
rosei	盧生
rosen	路線
rosenbasu	路線バス
rosenka	路線価
rosenmei	路線名
rosenzu	路線図
rosetthi	ロセッティ
roshaoheisenki	ロシャオヘイセンキ
rosheru	ロシェル
roshi	ろ紙
roshi	ロシ
roshia	ロシア
roshia	露
roshia	露西亜
roshia	露国
roshia	魯西亜
roshiaban	ロシア版
roshiagawa	ロシア側
roshiageeto	ロシアゲート
roshiago	ロシア語
roshiagun	ロシア軍
roshiajin	ロシア人
roshiaka	ロシア化
roshiakan	ロシア艦
roshiaki	ロシア機
roshianaimushou	ロシア内務省
roshianburuu	ロシアンブルー
roshianojosei	ロシアの女性
roshianokoe	ロシアの声
roshianruuretto	ロシアンルーレット
roshianruuretto	ロシアン・ルーレット
roshiapan	ロシアパン
roshiarenpou	ロシア連邦
roshiaryou	ロシア領
roshiasan	ロシア産
roshiaseifu	ロシア政府
roshiasen	ロシア船
roshiasen	ロシア戦
roshiashi	ロシア史
roshiashi	ロシア紙
roshiateikoku	ロシア帝国
roshiazei	ロシア勢
roshin	炉心
roshinante	ロシナンテ
roshirazu	露知らず
roshoku	盧植
roshuku	魯粛
roshungi	盧俊義
roshutsu	露出
rosoku	路側
rosshi	ロッシ
rosshii	ロッシー
rosshiini	ロッシーニ
rosso	ロッソ
rosu	ロス
rosuarutosu	ロスアルトス
rosuatomu	ロスアトム
rosuchairudo	ロスチャイルド
rosujene	ロスジェネ
rosukai	ロス海
rosukatto	ロスカット
rosukire	ロスキレ
rosukosumosu	ロスコスモス
rosuresu	ロスレス
rosusantosu	ロスサントス
rosutaa	ロスター
rosutaimu	ロスタイム
rosutan	ロスタン
rosuto	ロスト
rosutobageeji	ロストバゲージ
rosutokku	ロストック
rosutoku	ロストク
rosutora	ロストラ
rosutoribaaderuta	ロストリバーデルタ
rosutou	ロス島
rotaaru	ロタール
rotarikkusu	ロタリックス
rotatekku	ロタテック
rotatou	ロタ島
rotauirusu	ロタウイルス
rotchi	ロッチ
rotei	露呈
rotei	路程
roten	露店
roten	露天
roten	露点
roten'yosoku	露点予測
rotenbori	露天掘り
rotenburo	露天風呂
rotenshou	露天商
rothi	ロティ
rothisariichikin	ロティサリーチキン
roto	ロト
roto	露都
rotomo	露伴
rotomu	ロトム
rotosebun	ロト7
rotoshikkusu	ロト6
rotosukoopu	ロトスコープ
rotou	露頭
rotou	路頭
rotounimayoe	路頭に迷え
rotounimayoi	路頭に迷い
rotounimayoo	路頭に迷お
rotounimayou	路頭に迷う
rotounimayowa	路頭に迷わ
rotounimayoxtsu	路頭に迷っ
rotte	ロッテ
rotteaisu	ロッテアイス
rottedasen	ロッテ打線
rottedepaato	ロッテデパート
rottefan	ロッテファン
rotteguruupu	ロッテグループ
rottehoteru	ロッテホテル
rottehyakkaten	ロッテ百貨店
rotteishigaki	ロッテ石垣
rottejaiantsu	ロッテジャイアンツ
rottejidai	ロッテ時代
rottekemikaru	ロッテケミカル
rottekyuudan	ロッテ球団
rottemaato	ロッテマート
rottemariinzu	ロッテマリーンズ
rottemooru	ロッテモール
rottenyuudan	ロッテ入団
rotteria	ロッテリア
rotterudamu	ロッテルダム
rottesaikai	ロッテ最下位
rottesen	ロッテ戦
rotteshinema	ロッテシネマ
rotteshouji	ロッテ商事
rottewaarudo	ロッテワールド
rotto	ロット
rottonesuto	ロットネスト
rottonesutotou	ロットネスト島
rottowairaa	ロットワイラー
rottso	ロッツォ
rottsufuru	ロッツフル
rou	老
rou	楼
rou	朗
rou	郎
rou	労
rou	ロウ
rou	牢
rou	廊
rou	蝋
rou	盧
rou	虞
rou	路
rou	弄
rou	聾
rouba	老婆
roubai	狼狽
roubai	ロウバイ
roubai	蝋梅
roubashin	老婆心
rouben	良弁
roubo	老母
rouboku	老木
roubyoushi	老病死
rouden	漏電
roudoku	朗読
roudokugeki	朗読劇
roudou	労働
roudouanzen'eiseihou	労働安全衛生法
roudoufukushijigyoudan	労働福祉事業団
roudouhoken	労働保険
roudouhou	労働法
roudoujikan	労働時間
roudoujinkou	労働人口
roudoujouken	労働条件
roudoukagakukenkyuusho	労働科学研究所
roudoukankyou	労働環境
roudoukeiyaku	労働契約
roudoukijunhou	労働基準法
roudoukijunkantokusho	労働基準監督署
roudoukumiai	労働組合
roudoukyoku	労働局
roudoukyouyaku	労働協約
roudouryoku	労働力
roudousaigai	労働災害
roudousha	労働者
roudoushakaikyuu	労働者階級
roudoushasaigaihoshouhokenhou	労働者災害補償保険法
roudoushijou	労働市場
roudoushinpan	労働審判
roudoushou	労働省
roudoushourei	労働省令
roudousougi	労働争議
roudoutou	労働党
roudouundou	労働運動
roue	浪江
rouei	漏洩
rouei	漏えい
rouei	朗詠
roueitou	漏えい等
roueitou	漏洩等
roueki	労役
rouen	労演
roufuufu	老夫婦
rougai	老害
rougan	老眼
rougankyou	老眼鏡
rougetsu	弄月
rougo	老後
rougoku	牢獄
rougoshikin	老後資金
rouhachigayu	臘八粥
rouhai	老廃
rouhaibutsu	老廃物
rouhei	郎平
rouhei	老兵
rouhi	浪費
rouhiguse	浪費癖
rouho	老舗
rouhou	朗報
rouji	老司
roujin	老人
roujinhoomu	老人ホーム
roujintoumi	老人と海
roujo	老女
roujou	籠城
roujuu	老中
rouka	廊下
rouka	老化
roukaboushi	老化防止
roukagenshou	老化現象
roukai	老獪
roukaku	楼閣
roukandou	滝観洞
roukanogen'in	老化の原因
roukei	婁圭
rouken	老犬
rouken	老健
roukenja	老賢者
roukenmantou	労研饅頭
rouki	労基
roukihou	労基法
roukisho	労基署
roukou	瘻孔
roukou	老公
rouku	労苦
roukyoku	浪曲
roukyuu	老朽
roukyuuka	老朽化
rouman	浪漫
roumigai	揉みがい
roumigotae	揉みごたえ
roumon	楼門
roumu	労務
roumuhi	労務費
roumukanri	労務管理
roun	ロウン
rouneko	老猫
rounen	老年
rounennaika	老年内科
rounin	浪人
rounin'aji	ロウニンアジ
rouninsei	浪人生
rounuma	老沼
rounyakunannyo	老若男女
rouran	楼蘭
rouran	桜蘭
rouran	ロウラン
rourei	老齢
roureinenkin	老齢年金
rouren	老練
rouren	労連
rourou	労労
rourou	朗々
rouroukaigo	老老介護
rourousouzoku	老老相続
rouryoku	労力
rouryu	ロウリュ
rousa	弄さ
rousai	労災
rousaibyouin	労災病院
rousaihoken	労災保険
rousaku	労作
rouse	労せ
rouse	勞せ
rouse	弄せ
rouse	聾せ
rousei	老成
rousen	楼船
rousensei	老先生
rousetsu	漏洩
rouseyo	勞せよ
rouseyo	労せよ
rousha	ろう者
roushi	老子
roushi	老師
roushi	労し
roushi	勞し
roushi	労使
roushi	弄し
roushi	浪士
roushidoutokukyou	老子道徳経
roushikyoutei	労使協定
roushiro	弄しろ
roushiyo	労しよ
rousho	聾しょ
rousho	労しょ
roushou	労相
roushutsu	漏出
rouso	労組
rouso	弄そ
rousoku	ロウソク
rousoku	蝋燭
rousokuiwa	ロウソク岩
rousou	狼爪
rousu	労す
rousu	勞す
rousu	弄す
rousui	漏水
rousui	老衰
rousure	労すれ
rousure	勞すれ
rousure	弄すれ
rousuru	弄する
rousuru	労する
rousuru	聾する
rousuru	勞する
routa	朗太
routai	老体
routo	漏斗
rouwonegirae	労をねぎらえ
rouwonegirae	労を労え
rouwonegirai	労をねぎらい
rouwonegirao	労をねぎらお
rouwonegirao	労を労お
rouwonegirau	労をねぎらう
rouwonegirau	労を労う
rouwonegirawa	労をねぎらわ
rouwonegiraxtsu	労をねぎらっ
rouwooshima	労を惜しま
rouwooshime	労を惜しめ
rouya	牢屋
rouyama	盧山
rouyama	蝋山
rouzeki	狼藉
rouzenseiri	老前整理
rowaado	ロワード
rowaaru	ロワール
rowaarugawa	ロワール川
rowaiyaru	ロワイヤル
rowan	盧綰
roxtsu	六
royuudoraibuwei	芦有ドライブウェイ
rozaki	露崎
rozamunde	ロザムンデ
